codmes,Tasas_interes_fondeo,tasa_interes_act,ind_prec_inm,ind_prec_med,ind_prec_alt,ind_prec_12_distr,ind_prec_cons_lima_met_alim_ener,prod_ener_lima,imp_bienes_cons_durarero,ind_coyunt_ener,ind_coyunt_ener_sin_mina,ind_coyun_cons_cement,var_porc_demanda_interna,var_porc_PBI,var_porc_PBI_const,ind_prec_inf_suby_bienes,imp_mater_const,ind_preci_import,exp_PBI,tip_camb_banc_venta,ind_tipo_camb_var_mes
ene-20,18.5,14.4,107.09,5417.221,6527.404886,6271.777435,88.82007289,1852.887892,223.5302639,4603.824827,3536.889399,0.6961580992,5.337615533,2.91,5.972226726,0.08052136499,121.701674,82.4926633,0.034,3.328909091,-0.4981476996
feb-20,20.0,14.2,107.09,5417.221,6527.404886,6271.777435,88.93873234,1850.775319,190.9220367,4397.787181,3408.891535,4.75,3.544079596,4.02,6.046468869,0.1957451352,108.524958,82.43436789,0.033,3.39175,2.027176705
mar-20,18.8,14.1,107.09,5417.221,6527.404886,6271.777435,89.74926874,1451.278424,123.8233537,3999.057243,3124.349144,-49.24,-16.39562849,-17.73,-44.73243724,0.2108023698,97.090293,82.43120696,0.05,3.493772727,2.095777243
abr-20,13.8,13.4,108.34,5445.128,6827.794626,6504.613545,89.76056841,802.6021192,74.56980367,3041.60849,2413.943982,-98.1460311,-34.3825138,-39.06,-90.11778103,0.1734638517,87.689347,82.50738924,0.05,3.4002,-3.440153569
may-20,8.1,12.8,108.34,5445.128,6827.794626,6504.613545,90.02553256,1053.401808,70.48834672,3344.720292,2559.122852,-64.84868327,-29.83480633,-32.57,-66.24714783,0.2885792925,83.35163,82.05457994,0.06,3.42355,0.4929039584
jun-20,7.1,12.4,108.34,5445.128,6827.794626,6504.613545,89.43096588,1841.376381,92.99998084,3756.711311,2799.349129,-30.65475543,-16.41585182,-18.14,-42.93274575,0.1818525811,67.297039,82.16645703,0.08,3.471857143,2.259909286
jul-20,11.1,12.3,108.81,5682.461,6964.55641,6667.442811,90.30412393,2313.803869,150.6466531,4139.425057,3091.917863,-4.14,-12.02171464,-11.16,-12.49302387,0.1525512778,58.637843,82.1937229,0.07,3.519181818,1.380666657
ago-20,9.9,12.3,108.81,5682.461,6964.55641,6667.442811,89.96723272,2564.082187,170.9947928,4279.352971,3199.185678,1.65,-10.03569618,-9.2,-5.96755823,0.2329463835,64.789162,82.58656964,0.08,3.565904762,1.778545998
sept-20,11.1,12.4,108.81,5682.461,6964.55641,6667.442811,90.18350948,2533.141062,191.1532736,4190.85475,3184.400526,10.05790933,-7.686662708,-6.09,4.631009178,0.08730661832,73.087906,82.99075645,0.08,3.557045455,-0.2501675518
oct-20,12.6,12.5,109.81,5818.534,7126.933442,6823.794501,90.12925507,2594.272118,218.7974966,4464.678055,3378.065837,19.06539679,-5.817702619,-3.22,14.52288579,0.1974869782,97.869113,83.03566996,0.09,3.597772727,1.170020587
nov-20,14.6,12.4,109.81,5818.534,7126.933442,6823.794501,91.03038584,2755.220333,213.7398874,4385.367772,3335.838701,18.65,0.4226009557,-2.1,18.4548891,0.1849369796,100.821631,83.18146163,0.09,3.610904762,-0.2426222481
dic-20,17.4,12.1,109.81,5818.534,7126.933442,6823.794501,90.75966744,2265.155256,225.270546,4583.256637,3471.883622,21.45,6.700642622,1.08,26.02840607,0.08935237872,119.67365,83.52224657,0.095,3.605571429,-0.09722151512
ene-21,18.6,12.0,109.37,6009.207,7159.878127,6896.051566,92.23135091,1754.326293,186.1072589,4557.438605,3479.410449,22.14289695,-1.397047424,-0.77,16.2546085,0.1362490206,101.915626,85.0206333,0.04,3.6266,0.2923414659
